ticker,company,sector,market_cap,combs_score,weschler_score,combined_score,trailing_pe,roic,fcf_yield,drawdown_52w,combs_style_flag,weschler_style_flag,timestamp
PTC,PTC Inc.,Information Technology,16391427072,66.15100206752578,58.313683919703024,62.2323429936144,13.619002,0.15884817039578444,0.05226439383446991,-0.3393696509707349,True,False,2026-05-16 11:41:54
GEN,Gen Digital Inc.,Information Technology,14202815488,59.49208395989273,64.7134266502179,62.10275530505531,14.936306,0.10569045802851164,0.08491274149262538,-0.2125668766009426,False,False,2026-05-16 11:41:54
INCY,Incyte Corporation,Health Care,19041236992,69.86286894814579,54.0686422099012,61.965755579023494,13.461864,0.4919262839681855,0.06982902426762674,-0.0875933525375552,True,False,2026-05-16 11:41:54
NTAP,"NetApp, Inc.",Information Technology,23753377792,63.26567541039525,60.617416728016806,61.94154606920603,20.122482,0.6830728639346986,0.056328830860031646,0.0,True,False,2026-05-16 11:41:54
ALLE,Allegion plc,Industrials,10797841408,60.80289590543414,63.06701401141718,61.934954958425664,17.141884,0.1950772498662635,0.06350343314840433,-0.2888321337458049,False,False,2026-05-16 11:41:54
ROP,"Roper Technologies, Inc.",Information Technology,32384380928,59.68610134602791,63.64998292742577,61.66804213672684,20.043722,0.061306146835125475,0.07520909556415653,-0.4294971936706354,False,False,2026-05-16 11:41:54
DECK,Deckers Outdoor Corporation,Consumer Discretionary,13280838656,64.07177187615443,59.22167632917799,61.64672410266621,13.289772,1.017095580420913,0.07216050317477782,-0.21792192839057653,False,False,2026-05-16 11:41:54
BRO,"Brown & Brown, Inc.",Financials,19075983360,55.822558986018684,67.30183255156695,61.56219576879282,18.332247,0.060298802710762336,0.07244711708534432,-0.48784150434128587,False,False,2026-05-16 11:41:54
CRM,"Salesforce, Inc.",Information Technology,141940506624,60.26411555847574,62.664134515688495,61.46412503708211,22.216389,0.10124032284566652,0.10146504576139675,-0.35896129318638625,False,False,2026-05-16 11:41:54
IT,"Gartner, Inc.",Information Technology,9790373888,56.72471033040175,66.14754812397774,61.436129227189745,14.449604,0.45524225083534225,0.12003862298256693,-0.6382415632924164,False,False,2026-05-16 11:41:54
V,Visa Inc.,Financials,619492999168,80.6349928594109,41.93554139023405,61.285267124822475,28.400173,0.47948890614813705,0.03483009497924696,-0.0752766457404604,True,False,2026-05-16 11:41:54
