ticker,company,sector,market_cap,trailing_pe,forward_pe,peg_ratio,price_to_book,dividend_yield,short_percent,analyst_count,beta,gross_margin,operating_margin,net_margin,margin_stability,margin_trend,revenue_cagr_3y,revenue_cagr_5y,revenue_acceleration,earnings_cagr_3y,earnings_cagr_5y,interest_coverage,earnings_consistency,revenue_stability,debt_to_equity,roe,roic,altman_z,book_value_growth,fcf,fcf_yield,reinvestment_rate,drawdown_52w,price_vs_200ma,current_price,pe_gap,combs_unit_economics,combs_frictionless,combs_capital_allocation,combs_moat,combs_score,combs_style_flag,weschler_variant,weschler_complexity,weschler_distressed,weschler_quality,weschler_compounding,weschler_score,weschler_style_flag,combined_score
SPGI,S&P Global Inc.,Financials,124355518464,26.589872,18.920591,1.47,4.032907,0.92,0.010199999,21.0,1.105,0.7024647887323944,0.4027777777777778,0.29153625456442356,0.060632769082597716,0.13276615091077126,0.11107613003386319,,-0.057520967194288786,0.11240487410970945,,21.522648083623693,0.7766983403098785,0.8620670801047312,0.4363414399074758,0.1436373566357182,0.11128613665106322,4.095731422595466,-0.050722851251801426,5456000000.0,0.04387420894055032,0.012715179968701095,-0.23306117987587913,-0.12055153591756428,420.1199951171875,-0.2884286543387647,18.706173185367263,15.157263589776083,11.34079745303496,15.959514170040483,61.163748398218786,True,8.653509723125858,4.370994035785287,13.159454562944912,10.835375263337514,7.699643785874772,44.71897737106834,False,52.94136288464357
CRM,"Salesforce, Inc.",Information Technology,148738539520,23.310257,12.170209,0.99,2.856021,0.97,0.1047,53.0,1.139,0.7767609873570138,0.21473810957254666,0.179578567128236,0.07085683980633885,0.15547554259117385,0.09820006113830493,,0.008634906549350521,2.2973643337642913,,,0.29511844137067256,0.8809441251177599,0.29041966791789253,0.1260863684014744,0.10124032284566652,2.492394054457088,0.004452464035891834,14402000000.0,0.09682762817543632,0.1586273329319687,-0.32825966193338224,-0.1710246794888362,181.82000732421875,-0.47790326807636657,15.622795148930017,17.005081067380576,15.111930641914686,12.591852226720645,60.331659084945926,False,16.675486156292923,13.27057845696903,16.568123516962743,7.590947527962506,8.22838026073494,62.333515918922146,False,61.332587501934036
SNDK,Sandisk Corporation,Information Technology,231366557696,53.468174,9.230573,,22.64031,0.0,0.1029,22.0,,0.3007477906186268,0.06893269884432358,-0.22311352821210062,0.140891159663648,0.2817161362416289,0.09932312697218015,0.09932312697218015,0.009049365912342816,,,8.047619047619047,0.49657572545951234,0.9051878423532436,0.22157118055555555,-0.17805989583333334,0.04096655415771709,37.184394010345756,-0.1683811586356253,-120000000.0,-0.0005186574982788648,0.18164513936097892,0.0,1.930966498810235,1562.3399658203125,-0.8273632273284665,3.22307198284172,17.87508019611415,5.191155637575129,8.477437584345479,34.76674540087648,False,10.836477987421384,7.161773934705025,1.2992608862951323,7.02278986985005,8.039504034161574,34.35980671243317,False,34.56327605665483
SBAC,SBA Communications Corporation,Real Estate,23139768320,22.989464,26.917253,9.06,-4.7497444,2.29,0.045100003,20.0,1.024,0.7545513738397998,0.5521116364058756,0.37427352610297393,0.10252085882411056,0.17413844986075272,0.02248756625700632,,0.06235125399669385,0.31682487601351084,,3.2600221911331952,0.6054101877834378,0.971545440146023,-3.15629340278672,-0.21708620075454532,0.12935277343274829,0.5080277435583374,,1066509000.0,0.046089873729556856,0.07986071025267313,-0.05478771413474237,0.11399074503443588,218.1699981689453,0.17085169971774883,19.363294534412955,12.522900445929997,10.903717471331332,16.306933198380566,59.096845650054846,False,7.7176657694090425,11.011607942705215,9.963312864747001,10.899226769556636,10.512922465208748,50.10473581162664,False,54.60079073084074
SLB,SLB N.V.,Energy,79641722880,23.46696,15.960331,1.89,2.9115655,2.22,0.0496,28.0,0.731,0.18222807214069675,0.15285090175870952,0.0944886299988798,0.012074714686280217,0.005081153440742919,0.08326017106596773,,-0.11119672010156814,-0.006532947795186539,,9.78136200716846,0.8592310783470025,0.8878000288582919,0.44567007545290893,0.1292274694549772,0.12646719165927553,3.24102192024658,0.13866260468682956,4543000000.0,0.05704296486459937,0.07435308614316119,-0.06346695749932381,0.21199264229983963,53.27000045776367,-0.31988076001322713,8.927225997686524,11.98240833881175,14.094655284479982,12.934463562753038,47.93875318373129,False,8.984882697386045,6.39927638985365,8.83567546334894,11.746237176931913,11.719819909178335,47.685891636698884,False,47.81232241021509
STX,Seagate Technology Holdings plc,Information Technology,175490580480,74.043526,29.7887,0.54,371.97717,0.38,0.0431,22.0,2.009,0.3517643179070023,0.21050895899747168,0.16148180718918326,0.09288293486770323,0.04259883122112318,-0.0794356906329795,,0.5014544395643614,-0.037796246525970134,,5.965732087227415,0.0,0.7398582347001899,-11.026490066225165,-3.2428256070640176,0.5092602901214219,13.038849508621654,,818000000.0,0.004661218840137259,0.1087171595031329,0.0,1.024233963200126,782.6400146484375,-0.5976866363711528,10.708692645074224,14.265294686066865,11.631168289300149,10.499831309041836,47.104986929483076,False,12.402239316893532,5.364398189178185,1.1637673956262422,8.298024523332913,9.233598409542743,36.46202783457362,False,41.78350738202835
SRE,Sempra,Utilities,59832250368,31.132652,16.542652,0.82,1.8909985,2.87,0.0172,17.0,0.604,0.4661363304627062,0.2247847029630711,0.13406801926726025,0.02343117914819776,0.04769487679782419,-0.017312084045800646,,0.25063466985283045,-0.04946935307505618,,2.010443864229765,0.7636026509072196,0.8925224596859279,1.107768710065161,0.058107167710508,0.018512654899191797,1.0810502942284916,0.05224420104315208,-6047000000.0,-0.10106589611468314,0.7744854765727631,-0.051475606431580806,0.011981633369543157,91.52999877929688,-0.46863980620732215,13.866608227299015,13.709931645188627,5.6446369981397595,13.86589068825911,47.08706755888652,False,12.338495753972808,11.812102565330907,7.69694734816905,5.767073481616794,10.424753000435565,48.03937214952513,False,47.563219854205826
NOW,"ServiceNow, Inc.",Information Technology,94034665472,54.27381,18.19477,0.88,8.017939,0.0,0.0378,44.0,0.819,0.7753426720891701,0.13737008585630367,0.13164633227895767,0.04001668360884727,0.08837077598742858,0.22376517864742618,,-0.015540464893636807,0.7520749850690194,,79.30434782608695,0.4863703078950501,0.742910190381307,0.1853594569577291,0.13483492749151496,0.1211366085820979,5.398052614174369,0.3708800720579095,4533000000.0,0.04820562690627913,0.29153486970929354,-0.5565520120220404,-0.33742014092704686,91.18000030517578,-0.664759669534901,13.265013013302488,16.330374327738745,14.710159458194697,11.122975708502022,55.42852250773795,False,12.507788281220098,5.892152626410213,14.696887225036875,9.037401341811838,10.920500856035156,53.054730330514175,False,54.241626419126064
SHW,The Sherwin-Williams Company,Materials,78139097088,30.404991,23.863487,2.76,16.968561,1.01,0.0218,21.0,1.155,0.48847685827362847,0.16105250208913943,0.1089533941622869,0.01261601222095353,0.025578505637848387,0.021007379883363875,,0.018577214837289257,0.08335028140928813,,8.164946236559139,0.8801731119118391,0.9740885229286516,2.8146488919818196,0.5585759954765892,0.16853194142709588,3.6087865711323235,0.14019859817230018,2654000000.0,0.03396507124994129,0.03383345422769711,-0.12814189234017115,-0.06565355631833861,316.82000732421875,-0.21514573051509867,12.96215785858878,13.016453074382389,15.319018327316961,16.651695344129553,57.94932460441768,False,6.748104490115283,4.442017892644135,9.633437279548517,15.00977314006169,10.930378682352739,46.763711484722364,False,52.356518044570024
SPG,"Simon Property Group, Inc.",Real Estate,76935553024,14.263938,29.239782,4.58,12.719949,4.28,0.0,20.0,1.363,0.818993307413538,0.49892269705185244,0.727096922698623,0.01290767375864718,0.010671940689745807,0.0634817964117913,,0.013298606509936493,0.29324015534354664,,3.257367657090687,0.5848450258072544,0.9217265911123234,5.603919383564747,0.8885126495026754,0.09395825394958833,1.826250577615216,0.1839207250841295,3202205000.0,0.041621914370344154,0.14680576101362164,-0.007805269963556731,0.08043723702490047,202.1199951171875,1.0499094990457756,22.870513121746672,15.337259312649998,15.47936229461283,18.37348178137652,72.06061651038601,True,14.156450261735573,7.5912401494646575,5.832148239594691,8.221798836525751,12.866913486542781,48.66855097386346,False,60.364583742124736
SWKS,"Skyworks Solutions, Inc.",Information Technology,10044110848,27.824999,12.977095,1.53,1.7385645,4.25,0.2346,19.0,1.476,0.41158335168465093,0.12826347598424234,0.11673884851599012,0.06737153299569903,-0.1557033456363939,-0.09344825684967506,,0.10274480167778191,-0.27942857206650984,,19.343173431734318,0.5610819926194551,0.8605258041157496,0.20897674176234562,0.08287158465199493,0.08188370693363563,4.803379619092882,0.01725995812507497,1075900000.0,0.10711749564315441,0.24722895103868459,-0.12054781114770728,0.019159627623734903,66.77999877929688,-0.5336174136070948,8.553141628108733,6.842570077542712,13.49512230777269,3.474443319838057,32.36527733326219,False,14.843154264525154,12.989557354667179,13.579607035208108,8.500038829898779,10.078412389006523,59.99076987330574,False,46.17802360328396
SJM,The J. M. Smucker Company,Consumer Staples,10584845312,,9.967411,2.17,2.022456,4.43,0.0555,16.0,0.245,0.38788233002142997,0.189603602984151,-0.1410481200077927,0.0243645904352258,0.04300844615008631,0.02942957086787823,0.02942957086787823,0.10802407590906632,,,4.2564960123488556,0.0,0.9605658101012037,1.2760497155821524,-0.20234768026830632,0.09489015855500058,0.9318349649594084,-0.09255598808047838,816600000.0,0.0771480334317426,0.04512898087347154,-0.13546085608069486,-0.033131077562809357,99.25,,9.189929390784654,11.68497976285712,10.853005632178455,15.641236504723343,47.36915129054357,False,9.056795131845842,11.714560109224173,13.920060283460527,8.4783921081162,8.300368148772701,51.47017578141944,False,49.419663535981506
SW,Smurfit Westrock Plc,Materials,21791481856,57.70833,12.992332,0.26,1.1808673,4.35,0.066700004,14.0,0.939,0.1938163507489015,0.07133006190063824,0.02241893582218801,0.03188512957617378,-0.056658686341274564,0.3215380139788915,,-0.2685075751435228,-0.1223550080307424,,2.6476190476190475,0.5822345305051304,0.5505963854488122,0.7515141594368964,0.038140448518579145,0.05194304607331774,1.48174002790886,0.5038337672672195,1200000000.0,0.055067388621375266,0.07030373007472979,-0.10832864797391087,0.021797748065733404,41.54999923706055,-0.774862103963154,4.225787485540775,13.290159441755842,8.529768010916332,6.584640688259108,32.63035562647206,False,13.224412211208492,17.150909961915254,12.498428782145833,3.659777458228142,13.571085418077221,60.10461383157494,False,46.3674847290235
SNA,Snap-on Incorporated,Industrials,19373916160,19.308208,17.562809,2.09,3.2702312,2.61,0.0685,8.0,0.744,0.517290199957332,0.2575008242664029,0.19722270708481215,0.005797040916019165,0.008208103564286251,0.02113673668415572,,0.009317985678960455,0.03707165449655081,,26.291089108910892,0.9418372141385885,0.9717698506430742,0.21779223844364273,0.1714319430864156,0.18500896035525954,7.742086194648263,0.09797931976697027,1005700000.0,0.05191000062632665,0.014739822734237117,-0.024517459692558877,0.05755381981941917,374.0,-0.09039673697320844,18.401207767013688,7.6527488455719865,14.534220197690995,18.608974358974358,59.19715116925102,False,8.882493270567824,14.315439411722435,8.702943628551273,17.131495766420862,11.224395492554436,60.25676756981683,False,59.72695936953393
SOLV,Solventum Corporation,Health Care,12707560448,8.98164,10.421015,1.22,2.5214763,0.0,0.0433,12.0,0.655,0.5346546546546547,0.07591591591591591,0.1869069069069069,0.06302715060974183,-0.13232516649490822,0.007931997022665449,,0.0016481264206922456,0.05029474685902713,,1.8213256484149856,0.594831567756771,0.9899170030105068,0.997029702970297,0.3081188118811881,0.06235211146421436,2.119506278292375,-0.24516893126210026,-10000000.0,-0.0007869331049748314,0.1342942942942943,-0.13933854779677748,-0.004125758399136664,73.37999725341797,0.16025748081642105,10.443577212261424,7.282737835932611,10.371808790852572,3.1800354251012144,31.27815926414782,False,12.537440306853602,15.431076073678412,9.489835182453666,8.720072668454348,6.386878296382227,52.56530252782226,False,41.92173089598504
